,Track,Artist,Region,Country,Sub_Region,Track_n_Region,days_on_chart,first_appeared_date
1,Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version,Pitbull,ar,Argentina,South America,Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version ar,158,3/9/2017
2,Aventura,Pijama Party,ar,Argentina,South America,Aventura ar,170,1/3/2017
3,Castle on the Hill,Ed Sheeran,ar,Argentina,South America,Castle on the Hill ar,177,1/5/2017
4,Balada Del Diablo y La Muerte,La Renga,ar,Argentina,South America,Balada Del Diablo y La Muerte ar,170,1/24/2017
5,Something Just Like This,The Chainsmokers,ar,Argentina,South America,Something Just Like This ar,173,2/22/2017
6,Galway Girl,Ed Sheeran,ar,Argentina,South America,Galway Girl ar,162,3/2/2017
7,Stay (with Alessia Cara),Zedd,ar,Argentina,South America,Stay (with Alessia Cara) ar,169,2/23/2017
8,Pa Ti,Bad Bunny,ar,Argentina,South America,Pa Ti ar,166,2/27/2017
9,Deja De Llorar,El Polaco,ar,Argentina,South America,Deja De Llorar ar,155,12/31/2016
10,Sé Que Te Duele,Alejandro Fernandez,ar,Argentina,South America,Sé Que Te Duele ar,160,2/11/2017
11,Fuego,Juanes,ar,Argentina,South America,Fuego ar,151,12/31/2016
12,Slide,Calvin Harris,ar,Argentina,South America,Slide ar,145,2/27/2017
13,Symphony (feat. Zara Larsson),Clean Bandit,ar,Argentina,South America,Symphony (feat. Zara Larsson) ar,142,3/16/2017
14,Lo Intentamos,Marama,ar,Argentina,South America,Lo Intentamos ar,150,12/31/2016
16,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,ar,Argentina,South America,Swalla (feat. Nicki Minaj & Ty Dolla $ign) ar,141,3/26/2017
17,No Te Hagas,Jory Boy,ar,Argentina,South America,No Te Hagas ar,156,3/19/2017
18,Te Vas,Ozuna,ar,Argentina,South America,Te Vas ar,158,12/31/2016
19,A las Nueve,No Te Va Gustar,ar,Argentina,South America,A las Nueve ar,153,1/3/2017
20,Noche Loca,Marama,ar,Argentina,South America,Noche Loca ar,160,12/31/2016
25,Shape of You (Latin Remix) [feat. Zion & Lennox],Ed Sheeran,ar,Argentina,South America,Shape of You (Latin Remix) [feat. Zion & Lennox] ar,151,3/16/2017
26,No Te Hagas,DJ Yayo,ar,Argentina,South America,No Te Hagas ar,156,3/19/2017
31,Cake By The Ocean,DNCE,ar,Argentina,South America,Cake By The Ocean ar,152,12/31/2016
33,Issues,Julia Michaels,ar,Argentina,South America,Issues ar,142,2/1/2017
35,Olha a Explosão,MC Kevinho,ar,Argentina,South America,Olha a Explosão ar,145,3/18/2017
37,Baila Morena,Dame 5,ar,Argentina,South America,Baila Morena ar,168,2/27/2017
38,Amor y dolor,Carlos Baute,ar,Argentina,South America,Amor y dolor ar,166,12/31/2016
39,Si Tu Novio Te Deja Sola,J Balvin,ar,Argentina,South America,Si Tu Novio Te Deja Sola ar,164,3/3/2017
40,My Way,Calvin Harris,ar,Argentina,South America,My Way ar,178,12/31/2016
44,Papi Shampu,De La Calle,ar,Argentina,South America,Papi Shampu ar,162,12/31/2016
46,Cold Water (feat. Justin Bieber & MØ),Major Lazer,ar,Argentina,South America,Cold Water (feat. Justin Bieber & MØ) ar,173,12/31/2016
48,Trátame Suavemente - Remasterizado 2007,Soda Stereo,ar,Argentina,South America,Trátame Suavemente - Remasterizado 2007 ar,162,1/1/2017
51,Personalmente,Las Pelotas,ar,Argentina,South America,Personalmente ar,167,1/31/2017
55,Say You Won't Let Go,James Arthur,ar,Argentina,South America,Say You Won't Let Go ar,175,1/1/2017
57,SUBEME LA RADIO,Enrique Iglesias,ar,Argentina,South America,SUBEME LA RADIO ar,172,2/23/2017
58,Ride,Twenty One Pilots,ar,Argentina,South America,Ride ar,174,12/31/2016
61,Por Fin Te Encontré,Cali Y El Dandee,ar,Argentina,South America,Por Fin Te Encontré ar,162,12/31/2016
67,It Ain't Me (with Selena Gomez),Kygo,ar,Argentina,South America,It Ain't Me (with Selena Gomez) ar,178,2/15/2017
70,One Dance,Drake,ar,Argentina,South America,One Dance ar,161,12/31/2016
73,Hula Hoop,Daddy Yankee,ar,Argentina,South America,Hula Hoop ar,165,3/2/2017
78,Su Novio Anterior,El Villano,ar,Argentina,South America,Su Novio Anterior ar,148,1/2/2017
88,Persiana Americana,Soda Stereo,ar,Argentina,South America,Persiana Americana ar,155,12/31/2016
89,Ahora Dice,Chris Jeday,ar,Argentina,South America,Ahora Dice ar,147,3/20/2017
91,Don't Let Me Down,The Chainsmokers,ar,Argentina,South America,Don't Let Me Down ar,179,12/31/2016
92,Rocanroles Sin Destino,Callejeros,ar,Argentina,South America,Rocanroles Sin Destino ar,164,1/1/2017
95,Deja vu,Prince Royce,ar,Argentina,South America,Deja vu ar,165,2/23/2017
98,Paris,The Chainsmokers,ar,Argentina,South America,Paris ar,166,1/12/2017
121,Perfect,Ed Sheeran,ar,Argentina,South America,Perfect ar,165,3/2/2017
457,Escápate Conmigo,Wisin,ar,Argentina,South America,Escápate Conmigo ar,144,3/23/2017
458,Si Tú La Ves,Nicky Jam,ar,Argentina,South America,Si Tú La Ves ar,151,3/16/2017
479,Hear Me Now,Alok,ar,Argentina,South America,Hear Me Now ar,150,1/1/2017
487,Diabla - Official Remix,Farruko,ar,Argentina,South America,Diabla - Official Remix ar,143,3/24/2017
737,Persiana Americana,Agapornis,ar,Argentina,South America,Persiana Americana ar,155,12/31/2016
4208,Me Gusta,Ciro y los Persas,ar,Argentina,South America,Me Gusta ar,200,1/10/2017
4210,DUELE EL CORAZON,Enrique Iglesias,ar,Argentina,South America,DUELE EL CORAZON ar,190,12/31/2016
4211,Hasta el Amanecer,Nicky Jam,ar,Argentina,South America,Hasta el Amanecer ar,189,12/31/2016
4212,Se Pone Loca,CantoParaBailar,ar,Argentina,South America,Se Pone Loca ar,183,12/31/2016
4213,Lumbra,Cali Y El Dandee,ar,Argentina,South America,Lumbra ar,198,1/19/2017
4220,Me Rehúso,Danny Ocean,ar,Argentina,South America,Me Rehúso ar,199,1/27/2017
4233,"Simple (feat. Cosculluela, Nengo Flow & Baby Rasta y Gringo)",DJ Luian,ar,Argentina,South America,"Simple (feat. Cosculluela, Nengo Flow & Baby Rasta y Gringo) ar",186,2/9/2017
4236,Scared to Be Lonely,Martin Garrix,ar,Argentina,South America,Scared to Be Lonely ar,185,1/26/2017
4245,Alguien Robo,Sebastian Yatra,ar,Argentina,South America,Alguien Robo ar,186,2/9/2017
4247,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,ar,Argentina,South America,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"") ar",186,12/31/2016
4263,Stressed Out,Twenty One Pilots,ar,Argentina,South America,Stressed Out ar,198,12/31/2016
4264,That's What I Like,Bruno Mars,ar,Argentina,South America,That's What I Like ar,183,2/12/2017
4265,Believer,Imagine Dragons,ar,Argentina,South America,Believer ar,182,2/2/2017
5111,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,ar,Argentina,South America,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"" ar",214,1/1/2017
5113,Spaghetti del Rock,Divididos,ar,Argentina,South America,Spaghetti del Rock ar,220,1/1/2017
5114,Starboy,The Weeknd,ar,Argentina,South America,Starboy ar,208,12/31/2016
5115,La Rompe Corazones,Daddy Yankee,ar,Argentina,South America,La Rompe Corazones ar,211,1/15/2017
5116,Love Yourself,Justin Bieber,ar,Argentina,South America,Love Yourself ar,213,12/31/2016
5117,Cuando Pase El Temblor - Remasterizado 2007,Soda Stereo,ar,Argentina,South America,Cuando Pase El Temblor - Remasterizado 2007 ar,207,12/31/2016
5118,Qué Gano Olvidándote - Versión Urbana,Reik,ar,Argentina,South America,Qué Gano Olvidándote - Versión Urbana ar,220,1/1/2017
5119,Si Me Dices Que Si (feat. Nicky Jam),Cosculluela,ar,Argentina,South America,Si Me Dices Que Si (feat. Nicky Jam) ar,213,12/31/2016
5121,Amor para un Rato,Olvidate!,ar,Argentina,South America,Amor para un Rato ar,219,1/7/2017
5123,El Equivocado,Mano Arriba,ar,Argentina,South America,El Equivocado ar,208,1/18/2017
5124,Caile (feat. Zion & De La Ghetto),Revol,ar,Argentina,South America,Caile (feat. Zion & De La Ghetto) ar,203,1/22/2017
5125,Soy Peor,Bad Bunny,ar,Argentina,South America,Soy Peor ar,212,1/11/2017
5126,Puente,Gustavo Cerati,ar,Argentina,South America,Puente ar,216,1/1/2017
5127,El Amante,Nicky Jam,ar,Argentina,South America,El Amante ar,211,1/15/2017
5128,La Gozadera,Gente De Zona,ar,Argentina,South America,La Gozadera ar,220,12/31/2016
5132,Deu Onda,MC G15,ar,Argentina,South America,Deu Onda ar,207,1/18/2017
5133,Treat You Better,Shawn Mendes,ar,Argentina,South America,Treat You Better ar,202,12/31/2016
5135,Don't Wanna Know,Maroon 5,ar,Argentina,South America,Don't Wanna Know ar,214,12/31/2016
5137,Sigo Extrañándote,J Balvin,ar,Argentina,South America,Sigo Extrañándote ar,208,1/18/2017
5145,Nunca quise,Intoxicados,ar,Argentina,South America,Nunca quise ar,207,1/3/2017
5147,Despacito (Featuring Daddy Yankee),Luis Fonsi,ar,Argentina,South America,Despacito (Featuring Daddy Yankee) ar,214,1/12/2017
5151,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),Arcangel,ar,Argentina,South America,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian) ar,205,1/16/2017
5160,Mi Tesoro (feat. Nicky Jam),Zion & Lennox,ar,Argentina,South America,Mi Tesoro (feat. Nicky Jam) ar,215,12/31/2016
5164,Sin Contrato - Remix,Maluma,ar,Argentina,South America,Sin Contrato - Remix ar,208,12/31/2016
5166,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,ar,Argentina,South America,I Took A Pill In Ibiza - Seeb Remix ar,203,12/31/2016
5179,No Llores,LOAN,ar,Argentina,South America,No Llores ar,202,12/31/2016
5197,No Quiere Enamorarse (Remix) [feat. Daddy Yankee],Ozuna,ar,Argentina,South America,No Quiere Enamorarse (Remix) [feat. Daddy Yankee] ar,218,12/31/2016
5236,Piel a Piel,Dame 5,ar,Argentina,South America,Piel a Piel ar,212,1/14/2017
10991,On My Way,Tiësto,ar,Argentina,South America,On My Way ar,7,2/3/2017
10992,No Money,Galantis,ar,Argentina,South America,No Money ar,5,1/5/2017
10993,Lust for Life (with The Weeknd),Lana Del Rey,ar,Argentina,South America,Lust for Life (with The Weeknd) ar,8,4/19/2017
10994,Stay Together,Noah Cyrus,ar,Argentina,South America,Stay Together ar,2,5/9/2017
10995,Prohibido,Callejeros,ar,Argentina,South America,Prohibido ar,9,3/21/2017
10996,What Do You Mean?,Justin Bieber,ar,Argentina,South America,What Do You Mean? ar,15,12/31/2016
10997,Una en un Millón - Remix,Alexis & Fido,ar,Argentina,South America,Una en un Millón - Remix ar,17,1/6/2017
10998,All of Me,John Legend,ar,Argentina,South America,All of Me ar,17,2/5/2017
11000,All Time Low,Jon Bellion,ar,Argentina,South America,All Time Low ar,6,1/31/2017
11001,The Night We Met,Lord Huron,ar,Argentina,South America,The Night We Met ar,17,5/1/2017
11002,Más Que Ayer,Arcangel,ar,Argentina,South America,Más Que Ayer ar,4,5/2/2017
11003,Todo Comenzó Bailando,Marama,ar,Argentina,South America,Todo Comenzó Bailando ar,15,12/31/2016
11004,Para Enamorarte,CNCO,ar,Argentina,South America,Para Enamorarte ar,6,3/10/2017
11005,Quiéreme,Jacob Forever,ar,Argentina,South America,Quiéreme ar,14,6/2/2017
11006,Nancy Mulligan,Ed Sheeran,ar,Argentina,South America,Nancy Mulligan ar,11,3/2/2017
11007,No hay más nada,Los Totora,ar,Argentina,South America,No hay más nada ar,14,12/31/2016
11008,Que Va,Alex Sensation,ar,Argentina,South America,Que Va ar,14,8/3/2017
11009,El Pecado,Ozuna,ar,Argentina,South America,El Pecado ar,9,1/1/2017
11010,Fake Love,Drake,ar,Argentina,South America,Fake Love ar,15,1/1/2017
11012,Te Amo y Odio,Marama,ar,Argentina,South America,Te Amo y Odio ar,12,12/31/2016
11013,Krippy Kush,Farruko,ar,Argentina,South America,Krippy Kush ar,14,8/3/2017
11014,Hearts Don't Break Around Here,Ed Sheeran,ar,Argentina,South America,Hearts Don't Break Around Here ar,15,3/2/2017
11015,El Ratico,Juanes,ar,Argentina,South America,El Ratico ar,11,5/12/2017
11016,El Tesoro de los Inocentes,Indio Solari y los Fundamentalistas del Aire Acondicionado,ar,Argentina,South America,El Tesoro de los Inocentes ar,7,3/9/2017
11017,Detras De Ti (Remix) [feat. Ozuna],Jory Boy,ar,Argentina,South America,Detras De Ti (Remix) [feat. Ozuna] ar,11,1/4/2017
11018,Cocoon,Milky Chance,ar,Argentina,South America,Cocoon ar,9,1/13/2017
11019,Acá Estoy,El Reja,ar,Argentina,South America,Acá Estoy ar,3,12/31/2016
11020,Enganchado #TocoParaVos - Cumbia Mix,#TocoParaVos,ar,Argentina,South America,Enganchado #TocoParaVos - Cumbia Mix ar,3,1/6/2017
11021,No Vacancy,OneRepublic,ar,Argentina,South America,No Vacancy ar,7,5/27/2017
11022,Obsesionado,Farruko,ar,Argentina,South America,Obsesionado ar,17,1/1/2017
11023,Juntos a la Par,Pappo,ar,Argentina,South America,Juntos a la Par ar,2,4/25/2017
11024,Too Good,Drake,ar,Argentina,South America,Too Good ar,17,1/3/2017
11025,You Don't Know Me - Radio Edit,Jax Jones,ar,Argentina,South America,You Don't Know Me - Radio Edit ar,12,4/2/2017
11027,La noche,Andrés Calamaro,ar,Argentina,South America,La noche ar,9,1/1/2017
11028,Yo Bailaré (feat. Zenon Pereyra),Halconizados de Amor,ar,Argentina,South America,Yo Bailaré (feat. Zenon Pereyra) ar,9,1/6/2017
11029,In The End,Linkin Park,ar,Argentina,South America,In The End ar,11,7/19/2017
11030,Ya No Hay Nadie Que Nos Pare,TINI,ar,Argentina,South America,Ya No Hay Nadie Que Nos Pare ar,10,1/3/2017
11032,Tú Sí Sabes Quererme,Natalia Lafourcade,ar,Argentina,South America,Tú Sí Sabes Quererme ar,12,2/28/2017
11033,De Música Ligera,Soda Stereo,ar,Argentina,South America,De Música Ligera ar,2,2/14/2017
11034,Make You Mine,Maxi Trusso,ar,Argentina,South America,Make You Mine ar,11,1/3/2017
11035,Numb,Linkin Park,ar,Argentina,South America,Numb ar,8,7/19/2017
11036,Black Beatles,Rae Sremmurd,ar,Argentina,South America,Black Beatles ar,15,1/1/2017
11038,I Got You,Bebe Rexha,ar,Argentina,South America,I Got You ar,8,2/1/2017
11039,Mask Off,Future,ar,Argentina,South America,Mask Off ar,19,4/9/2017
11041,Bailando - Spanish Version,Enrique Iglesias,ar,Argentina,South America,Bailando - Spanish Version ar,11,12/31/2016
11043,Hey DJ - Pop Version,CNCO,ar,Argentina,South America,Hey DJ - Pop Version ar,9,4/5/2017
11046,Make My Love Go,Jay Sean,ar,Argentina,South America,Make My Love Go ar,4,1/19/2017
11048,Quiero Que Sepas,Juan Magán,ar,Argentina,South America,Quiero Que Sepas ar,11,12/31/2016
11049,Báilame - Remix,Nacho,ar,Argentina,South America,Báilame - Remix ar,16,8/1/2017
11050,Arrancacorazones,Attaque 77,ar,Argentina,South America,Arrancacorazones ar,7,4/25/2017
11051,Wonderwall - Remastered,Oasis,ar,Argentina,South America,Wonderwall - Remastered ar,14,5/10/2017
11052,Andas En Mi Cabeza - Remix,Chino & Nacho,ar,Argentina,South America,Andas En Mi Cabeza - Remix ar,14,12/31/2016
11053,Amárrame,Mon Laferte,ar,Argentina,South America,Amárrame ar,2,3/21/2017
11054,El Lavarropa,Gonzo Vizán,ar,Argentina,South America,El Lavarropa ar,14,2/7/2017
11055,Love My Life,Robbie Williams,ar,Argentina,South America,Love My Life ar,6,1/3/2017
11056,La vida rosa,Angela Torres,ar,Argentina,South America,La vida rosa ar,7,1/25/2017
11057,Chica Brasileña,El Super Hobby,ar,Argentina,South America,Chica Brasileña ar,17,1/5/2017
11060,Glorious (feat. Skylar Grey),Macklemore,ar,Argentina,South America,Glorious (feat. Skylar Grey) ar,8,8/6/2017
11061,El Chisme (feat. J Alvarez & Kevin Roldan) - Remix,Reykon,ar,Argentina,South America,El Chisme (feat. J Alvarez & Kevin Roldan) - Remix ar,10,1/24/2017
11063,Me Quema,Paulina Rubio,ar,Argentina,South America,Me Quema ar,15,1/1/2017
11064,Quedate Conmigo,Marka Akme,ar,Argentina,South America,Quedate Conmigo ar,9,1/6/2017
11065,Vacaciones - Remix,Wisin,ar,Argentina,South America,Vacaciones - Remix ar,16,3/17/2017
11066,Te Quiero Igual,Andrés Calamaro,ar,Argentina,South America,Te Quiero Igual ar,2,4/17/2017
11067,Bronceado,Marama,ar,Argentina,South America,Bronceado ar,3,12/31/2016
11070,Una Lady Como Tú - Remix,Manuel Turizo,ar,Argentina,South America,Una Lady Como Tú - Remix ar,8,8/3/2017
11071,Fanática Sensual,Plan B,ar,Argentina,South America,Fanática Sensual ar,11,12/31/2016
11073,A L I E N S,Coldplay,ar,Argentina,South America,A L I E N S ar,2,7/6/2017
11076,Amigos y Enemigos - Remix,Noriel,ar,Argentina,South America,Amigos y Enemigos - Remix ar,15,7/30/2017
11078,Robarte un Beso,Carlos Vives,ar,Argentina,South America,Robarte un Beso ar,20,7/28/2017
11079,Everyday,Ariana Grande,ar,Argentina,South America,Everyday ar,5,3/29/2017
11081,Pretextos,Maluma,ar,Argentina,South America,Pretextos ar,19,1/1/2017
11083,Chica Real,El Villano,ar,Argentina,South America,Chica Real ar,7,12/31/2016
11084,Eraser,Ed Sheeran,ar,Argentina,South America,Eraser ar,13,3/2/2017
11086,Si Tu Lo Dejas,Rvssian,ar,Argentina,South America,Si Tu Lo Dejas ar,13,8/4/2017
11087,Enamorarnos Bailando,The Panas,ar,Argentina,South America,Enamorarnos Bailando ar,3,1/6/2017
11088,Hymn For The Weekend,Coldplay,ar,Argentina,South America,Hymn For The Weekend ar,13,1/1/2017
11089,Weak,AJR,ar,Argentina,South America,Weak ar,6,2/1/2017
11092,Alone,Alan Walker,ar,Argentina,South America,Alone ar,8,1/29/2017
11093,Pierde Los Modales,J Balvin,ar,Argentina,South America,Pierde Los Modales ar,14,12/31/2016
11098,Hoja en Blanco,Dread Mar I,ar,Argentina,South America,Hoja en Blanco ar,20,1/2/2017
11099,Supermarket Flowers,Ed Sheeran,ar,Argentina,South America,Supermarket Flowers ar,17,3/2/2017
11101,Curiosidad,Rombai,ar,Argentina,South America,Curiosidad ar,13,12/31/2016
11103,Ego,Lali,ar,Argentina,South America,Ego ar,20,12/31/2016
11108,I Like Me Better,Lauv,ar,Argentina,South America,I Like Me Better ar,3,7/14/2017
11110,Nada Personal - Remasterizado 2007,Soda Stereo,ar,Argentina,South America,Nada Personal - Remasterizado 2007 ar,5,2/14/2017
11112,Segundas Intenciones,Rombai,ar,Argentina,South America,Segundas Intenciones ar,7,12/31/2016
11122,La Máquina de Ser Feliz,Charly García,ar,Argentina,South America,La Máquina de Ser Feliz ar,8,2/5/2017
11125,Nuestro Secreto,Pijama Party,ar,Argentina,South America,Nuestro Secreto ar,5,1/6/2017
11127,Si Le Robo un Beso,VI-EM,ar,Argentina,South America,Si Le Robo un Beso ar,4,1/6/2017
11128,I Would Like,Zara Larsson,ar,Argentina,South America,I Would Like ar,8,1/10/2017
11134,Fix You,Coldplay,ar,Argentina,South America,Fix You ar,10,6/21/2017
11142,Carolina,Harry Styles,ar,Argentina,South America,Carolina ar,3,5/11/2017
11143,Lluvia,Charly García,ar,Argentina,South America,Lluvia ar,2,2/23/2017
11144,Tanto Amor,Abel Pintos,ar,Argentina,South America,Tanto Amor ar,4,6/30/2017
11146,Taste Of Love,Maxi Trusso,ar,Argentina,South America,Taste Of Love ar,3,12/31/2016
11147,Kiwi,Harry Styles,ar,Argentina,South America,Kiwi ar,3,5/11/2017
11148,NA,NA,ar,Argentina,South America,NA ar,8,7/19/2017
11149,Sua Cara (feat. Anitta & Pabllo Vittar),Major Lazer,ar,Argentina,South America,Sua Cara (feat. Anitta & Pabllo Vittar) ar,6,8/11/2017
11153,Amigos de Dios,Charly García,ar,Argentina,South America,Amigos de Dios ar,2,2/23/2017
11154,Enter Sandman,Metallica,ar,Argentina,South America,Enter Sandman ar,3,3/30/2017
11160,Without You (feat. Sandro Cavazza),Avicii,ar,Argentina,South America,Without You (feat. Sandro Cavazza) ar,6,8/10/2017
11163,What I've Done,Linkin Park,ar,Argentina,South America,What I've Done ar,2,7/20/2017
11164,Believe,Charly García,ar,Argentina,South America,Believe ar,2,2/23/2017
11165,Vale la pena,#TocoParaVos,ar,Argentina,South America,Vale la pena ar,4,1/6/2017
11166,Se Preparó,Ozuna,ar,Argentina,South America,Se Preparó ar,6,8/11/2017
11168,The Mack,Nevada,ar,Argentina,South America,The Mack ar,6,12/31/2016
11170,Hermosa Ingrata,Juanes,ar,Argentina,South America,Hermosa Ingrata ar,2,3/3/2017
11177,"Ella Usó, Un Misil (SEP7IMO DIA)",Soda Stereo,ar,Argentina,South America,"Ella Usó, Un Misil (SEP7IMO DIA) ar",4,3/9/2017
11178,Dure Dure,Jencarlos,ar,Argentina,South America,Dure Dure ar,6,8/11/2017
11182,Like a Stone,Audioslave,ar,Argentina,South America,Like a Stone ar,3,5/17/2017
11184,Sobredosis,Romeo Santos,ar,Argentina,South America,Sobredosis ar,2,7/30/2017
11185,No Vacancy (with Sebastián Yatra),OneRepublic,ar,Argentina,South America,No Vacancy (with Sebastián Yatra) ar,4,6/21/2017
11186,Final Song,MØ,ar,Argentina,South America,Final Song ar,2,3/31/2017
11188,Heavy (feat. Kiiara),Linkin Park,ar,Argentina,South America,Heavy (feat. Kiiara) ar,5,7/20/2017
11191,Got Me Started,TINI,ar,Argentina,South America,Got Me Started ar,2,1/17/2017
11192,Can't Feel My Face,The Weeknd,ar,Argentina,South America,Can't Feel My Face ar,4,3/30/2017
11196,Woman,Harry Styles,ar,Argentina,South America,Woman ar,2,5/11/2017
11199,Dale Tu Amor,Agapornis,ar,Argentina,South America,Dale Tu Amor ar,3,12/31/2016
11202,Love,Lana Del Rey,ar,Argentina,South America,Love ar,5,2/19/2017
11206,Signos (SEP7IMO DIA),Soda Stereo,ar,Argentina,South America,Signos (SEP7IMO DIA) ar,3,3/9/2017
11209,Aire,Axel,ar,Argentina,South America,Aire ar,4,7/14/2017
11214,De Música Ligera (SEP7IMO DIA),Soda Stereo,ar,Argentina,South America,De Música Ligera (SEP7IMO DIA) ar,2,3/9/2017
11216,I Don’t Know Why,Imagine Dragons,ar,Argentina,South America,I Don’t Know Why ar,2,6/22/2017
11219,Reptilia,The Strokes,ar,Argentina,South America,Reptilia ar,4,3/31/2017
11221,Miracles (Someone Special),Coldplay,ar,Argentina,South America,Miracles (Someone Special) ar,1,7/13/2017
11222,Rivalidad,Charly García,ar,Argentina,South America,Rivalidad ar,2,2/23/2017
11224,Autodestructivo,No Te Va Gustar,ar,Argentina,South America,Autodestructivo ar,2,6/2/2017
11225,Cash Out,Calvin Harris,ar,Argentina,South America,Cash Out ar,1,6/29/2017
11226,Prófugos (SEP7IMO DIA),Soda Stereo,ar,Argentina,South America,Prófugos (SEP7IMO DIA) ar,4,3/9/2017
11228,Last Nite,The Strokes,ar,Argentina,South America,Last Nite ar,2,4/2/2017
11229,En la Ciudad de la Furia (SEP7IMO DIA),Soda Stereo,ar,Argentina,South America,En la Ciudad de la Furia (SEP7IMO DIA) ar,1,3/9/2017
11231,Luna Roja (SEP7IMO DIA),Soda Stereo,ar,Argentina,South America,Luna Roja (SEP7IMO DIA) ar,1,3/9/2017
11233,Party Monster,The Weeknd,ar,Argentina,South America,Party Monster ar,1,4/2/2017
11234,Terapia de Amor Intensiva (SEP7IMO DIA),Soda Stereo,ar,Argentina,South America,Terapia de Amor Intensiva (SEP7IMO DIA) ar,1,3/9/2017
11235,Ahora Imagino Cosas,El Mato A Un Policia Motorizado,ar,Argentina,South America,Ahora Imagino Cosas ar,1,6/21/2017
11236,Y el Mundo Me Comió a Mí,No Te Va Gustar,ar,Argentina,South America,Y el Mundo Me Comió a Mí ar,1,6/4/2017
11239,Cuando Me Enamoro,Banda XXI,ar,Argentina,South America,Cuando Me Enamoro ar,1,12/31/2016
11240,Dígame usted señorita,Kale “La Evolución”,ar,Argentina,South America,Dígame usted señorita ar,2,1/20/2017
11243,Baila Toma,"Osmani Garcia ""La Voz""",ar,Argentina,South America,Baila Toma ar,4,1/23/2017
11245,Y el Mundo Me Comió a Mi,No Te Va Gustar,ar,Argentina,South America,Y el Mundo Me Comió a Mi ar,1,6/2/2017
11248,Only Angel,Harry Styles,ar,Argentina,South America,Only Angel ar,2,5/11/2017
11250,Ella,Ricardo Arjona,ar,Argentina,South America,Ella ar,9,12/31/2016
11251,Gyal You A Party Animal,Charly Black,ar,Argentina,South America,Gyal You A Party Animal ar,1,12/31/2016
11254,Yo Tomo Licor,Amar Azul,ar,Argentina,South America,Yo Tomo Licor ar,1,12/31/2016
11255,Strobelite (feat. Peven Everett),Gorillaz,ar,Argentina,South America,Strobelite (feat. Peven Everett) ar,1,4/27/2017
11256,Now Or Never,Halsey,ar,Argentina,South America,Now Or Never ar,19,4/11/2017
11257,Free Smoke,Drake,ar,Argentina,South America,Free Smoke ar,2,3/19/2017
11259,Te Robo Remix,Gigolo Y La Exce,ar,Argentina,South America,Te Robo Remix ar,17,6/16/2017
11260,Romantic - NOTD Remix,Stanaj,ar,Argentina,South America,Romantic - NOTD Remix ar,1,2/21/2017
11262,No Lo Niegues (feat. Sammy & Falsetto),Dayme y El High,ar,Argentina,South America,No Lo Niegues (feat. Sammy & Falsetto) ar,2,2/24/2017
11264,Ocho Cuarenta,Rodrigo,ar,Argentina,South America,Ocho Cuarenta ar,1,12/31/2016
11265,Tus Ojos No Me Ven,Agapornis,ar,Argentina,South America,Tus Ojos No Me Ven ar,1,12/31/2016
11268,Para Cuando Me Muera,No Te Va Gustar,ar,Argentina,South America,Para Cuando Me Muera ar,1,6/4/2017
11270,La del Control,Eloy,ar,Argentina,South America,La del Control ar,4,2/2/2017
11271,Olvídala,Banda XXI,ar,Argentina,South America,Olvídala ar,1,12/31/2016
11274,Someone Like You,Adele,ar,Argentina,South America,Someone Like You ar,1,2/13/2017
11277,DNA.,Kendrick Lamar,ar,Argentina,South America,DNA. ar,1,4/18/2017
11278,All I Can Think About Is You,Coldplay,ar,Argentina,South America,All I Can Think About Is You ar,2,6/15/2017
11286,Bibia Be Ye Ye,Ed Sheeran,ar,Argentina,South America,Bibia Be Ye Ye ar,7,3/2/2017
11287,Sweet Creature,Harry Styles,ar,Argentina,South America,Sweet Creature ar,19,5/1/2017
11293,Flight 956,Indio Solari y los Fundamentalistas del Aire Acondicionado,ar,Argentina,South America,Flight 956 ar,5,3/12/2017
11302,7 Years,Lukas Graham,ar,Argentina,South America,7 Years ar,6,1/1/2017
11307,Send My Love (To Your New Lover),Adele,ar,Argentina,South America,Send My Love (To Your New Lover) ar,4,1/1/2017
11308,Legui,La Beriso,ar,Argentina,South America,Legui ar,12,1/1/2017
11311,Into You,Ariana Grande,ar,Argentina,South America,Into You ar,5,1/1/2017
11313,En Remolinos (SEP7IMO DIA),Soda Stereo,ar,Argentina,South America,En Remolinos (SEP7IMO DIA) ar,3,3/9/2017
11319,Explícale,Yandel,ar,Argentina,South America,Explícale ar,7,8/10/2017
11321,Un Millón de Años Luz (SEP7IMO DIA),Soda Stereo,ar,Argentina,South America,Un Millón de Años Luz (SEP7IMO DIA) ar,3,3/9/2017
